participant,pair,block,trial,match_label,match_shape,trial_type,trial_label,trial_shape,response,RTms,acc
207844,2,2,6,earth,S.bmp,mismatch,air,S.bmp,m,45.62540000006265,0
207844,2,2,7,earth,S.bmp,mismatch,air,S.bmp,m,71.78799999974217,0
207844,2,2,8,earth,S.bmp,match,earth,S.bmp,m,45.93800000020565,1
207844,2,2,9,earth,S.bmp,mismatch,air,S.bmp,m,53.0111000002762,0
207844,2,2,10,earth,S.bmp,mismatch,air,C.bmp,m,37.63040000012552,0
207844,2,2,11,earth,S.bmp,mismatch,air,C.bmp,m,46.34690000011687,0
207844,2,2,12,earth,S.bmp,match,earth,S.bmp,m,61.65779999992082,1
207844,2,2,13,earth,S.bmp,mismatch,sky,T.bmp,m,54.89289999968605,0
207844,2,2,14,earth,S.bmp,mismatch,sky,T.bmp,m,60.71990000009464,0
207844,2,2,15,earth,S.bmp,mismatch,sky,T.bmp,m,54.97210000021368,0
207844,2,2,16,earth,S.bmp,mismatch,earth,T.bmp,m,30.16530000013517,0
207844,2,2,17,earth,S.bmp,mismatch,sky,S.bmp,m,48.47500000005311,0
207844,2,2,18,earth,S.bmp,mismatch,sky,T.bmp,m,47.44729999993069,0
207844,2,2,19,earth,S.bmp,mismatch,sky,C.bmp,m,46.55460000003586,0
207844,2,2,20,earth,S.bmp,mismatch,sky,T.bmp,m,48.34730000038689,0
207844,2,2,21,earth,S.bmp,mismatch,air,T.bmp,m,32.59849999994912,0
207844,2,2,22,earth,S.bmp,mismatch,air,T.bmp,m,68.54500000008557,0
207844,2,2,23,earth,S.bmp,mismatch,air,T.bmp,m,37.18509999998787,0
207844,2,2,24,earth,S.bmp,mismatch,earth,C.bmp,m,40.63450000012381,0
207844,2,2,25,earth,S.bmp,match,earth,S.bmp,m,63.454900000124326,1
207844,2,2,26,earth,S.bmp,match,earth,S.bmp,m,87.90940000017144,1
207844,2,2,27,earth,S.bmp,mismatch,air,S.bmp,m,40.95409999990807,0
207844,2,2,28,earth,S.bmp,mismatch,air,T.bmp,m,79.68190000019604,0
207844,2,2,29,earth,S.bmp,match,earth,S.bmp,m,46.55730000013136,1
207844,2,2,30,earth,S.bmp,match,earth,S.bmp,m,73.8296999998056,1
207844,2,2,31,earth,S.bmp,match,earth,S.bmp,m,48.30730000003314,1
207844,2,2,32,earth,S.bmp,match,earth,S.bmp,m,58.86439999994763,1
207844,2,2,33,earth,S.bmp,match,earth,S.bmp,m,53.91159999999218,1
207844,2,2,34,earth,S.bmp,mismatch,air,T.bmp,m,39.35360000014043,0
207844,2,2,35,earth,S.bmp,match,earth,S.bmp,m,42.34299999961877,1
207844,2,2,36,earth,S.bmp,match,earth,S.bmp,m,51.42620000015086,1
207844,2,2,37,earth,S.bmp,match,earth,S.bmp,m,47.33829999986483,1
207844,2,2,38,earth,S.bmp,match,earth,S.bmp,m,48.30069999979969,1
207844,2,2,39,earth,S.bmp,mismatch,air,C.bmp,m,49.07460000003993,0
207844,2,2,40,earth,S.bmp,mismatch,earth,T.bmp,m,45.89210000040111,0
207844,2,2,41,earth,S.bmp,mismatch,earth,C.bmp,m,62.9399999997986,0
207844,2,2,42,earth,S.bmp,mismatch,air,C.bmp,m,54.56660000027114,0
207844,2,2,43,earth,S.bmp,match,earth,S.bmp,m,42.15220000014597,1
207844,2,2,44,earth,S.bmp,mismatch,sky,S.bmp,m,36.79420000025857,0
207844,2,2,45,earth,S.bmp,mismatch,air,T.bmp,m,22.15500000011161,0
207844,2,2,46,earth,S.bmp,mismatch,sky,C.bmp,m,50.15349999985119,0
207844,2,2,47,earth,S.bmp,mismatch,air,C.bmp,m,60.37710000009611,0
207844,2,2,48,earth,S.bmp,mismatch,sky,T.bmp,m,43.26679999985572,0
207844,2,2,49,earth,S.bmp,mismatch,air,S.bmp,m,20.83900000025096,0
207844,2,2,50,earth,S.bmp,mismatch,sky,T.bmp,m,42.07560000031662,0
207844,2,2,51,earth,S.bmp,match,earth,S.bmp,m,44.64180000013584,1
207844,2,2,52,earth,S.bmp,mismatch,air,C.bmp,m,49.01340000014898,0
207844,2,2,53,earth,S.bmp,match,earth,S.bmp,m,49.50300000018615,1
207844,2,2,54,earth,S.bmp,mismatch,air,C.bmp,m,54.16719999993802,0
207844,2,2,55,earth,S.bmp,match,earth,S.bmp,m,53.78860000018903,1
207844,2,2,56,earth,S.bmp,mismatch,sky,S.bmp,m,31.42009999965012,0
207844,2,2,57,earth,S.bmp,match,earth,S.bmp,m,28.94459999970422,1
