blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choose_match_pair.started,choose_match_pair.stopped,trial_list.started,trial_list.stopped,learn_me.started,text_2.started,text.started,image.started,dismiss_learn.started,learn_me.stopped,dismiss_learn.keys,dismiss_learn.rt,dismiss_learn.duration,choose_mismatch_pair.started,match_label,match_shape,mismatch_label,mismatch_shape,choose_mismatch_pair.stopped,choose_trial_type.started,trial_type,trial_index,trial_label,trial_shape,choose_trial_type.stopped,fix_cross.started,text_4.started,fix_cross.stopped,put.started,put_label.started,put_shape.started,trial_response.started,put.stopped,trial_response.keys,trial_response.rt,trial_response.duration,eval.started,acc,eval.stopped,text_4.stopped,rest_period.started,text_3.started,rest_period_kb.started,rest_period.stopped,rest_period_kb.keys,rest_period_kb.rt,rest_period_kb.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,49,0,49,0,47.09535440000036,,,,,,,,,,,,,,,47.08063360000051,£50,D.bmp,£0,O.bmp,47.080911999999444,47.08092529999885,mismatch,49,£0,O.bmp,47.08119319999969,47.08120620000045,47.09535440000036,47.57950039999923,47.579513299999235,47.59632679999959,47.59632679999959,47.59632679999959,47.763334600000235,m,0.1511900000004971,None,47.7639607000001,0,47.76422400000047,47.59632679999959,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,50,0,50,0,47.7793271999999,,,,,,,,,,,,,,,47.76467149999917,£50,D.bmp,£0,D.bmp,47.764945299999454,47.76495859999886,match,50,£50,D.bmp,47.76522449999902,47.76523769999949,47.7793271999999,48.2636050000001,48.26361700000052,48.28027680000014,48.28027680000014,48.28027680000014,48.36374119999891,n,0.07571500000085507,None,48.36432909999894,0,48.3645822999988,48.28027680000014,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,51,0,51,0,48.37997809999979,,,,,,,,,,,,,,,48.365000699999655,£50,D.bmp,£100,P.bmp,48.36526640000011,48.36527919999935,mismatch,51,£100,P.bmp,48.36553449999883,48.36554719999913,48.37997809999979,48.86407259999942,48.86408399999891,48.88089409999884,48.88089409999884,48.88089409999884,48.93109910000021,m,0.0424659000000247,None,48.93168650000007,0,48.93193690000044,48.88089409999884,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,52,0,52,0,48.94709299999886,,,,,,,,,,,,,,,48.93235719999939,£50,D.bmp,£0,O.bmp,48.93262030000005,48.93263309999929,mismatch,52,£0,O.bmp,48.932884699999704,48.93289729999924,48.94709299999886,49.431167099999584,49.43117919999895,49.44808659999944,49.44808659999944,49.44808659999944,49.98190900000009,m,0.5240733000009641,None,49.98249869999927,0,49.98274759999913,49.44808659999944,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,53,0,53,0,49.998095799999646,,,,,,,,,,,,,,,49.9831680999996,£50,D.bmp,£0,P.bmp,49.98343219999879,49.98344509999879,mismatch,53,£0,P.bmp,49.98369710000043,49.983709799998906,49.998095799999646,50.4821651000002,50.482176499999696,50.498954999999114,50.498954999999114,50.498954999999114,50.782870600000024,n,0.2727780999994138,None,50.78345429999899,1,50.78372759999911,50.498954999999114,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,54,0,54,0,50.7988277000004,,,,,,,,,,,,,,,50.78414449999946,£50,D.bmp,£0,O.bmp,50.7844428999997,50.784455199998774,match,54,£50,D.bmp,50.78474869999991,50.78476049999881,50.7988277000004,51.28289909999876,51.28291089999948,51.29969859999983,51.29969859999983,51.29969859999983,51.40022279999903,m,0.09653179999986605,None,51.40083009999944,1,51.40108049999981,51.29969859999983,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,55,0,55,0,51.41607579999982,,,,,,,,,,,,,,,51.40151530000003,£50,D.bmp,£0,O.bmp,51.40176309999879,51.40177509999921,mismatch,55,£0,O.bmp,51.40200509999886,51.402016599999115,51.41607579999982,51.90025269999933,51.90026389999912,51.91699309999967,51.91699309999967,51.91699309999967,52.11753580000004,m,0.19886829999995825,None,52.11825839999983,0,52.11859569999979,51.91699309999967,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,56,0,56,0,52.13352599999962,,,,,,,,,,,,,,,52.11910390000048,£50,D.bmp,£0,P.bmp,52.11936690000039,52.11937930000022,mismatch,56,£0,P.bmp,52.11963239999932,52.11964529999932,52.13352599999962,52.61750219999885,52.61751369999911,52.634252699999706,52.634252699999706,52.634252699999706,52.70117759999994,m,0.056916999999884865,None,52.70175720000043,0,52.70201029999953,52.634252699999706,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,57,0,57,0,52.71722719999889,,,,,,,,,,,,,,,52.70242859999962,£50,D.bmp,£100,P.bmp,52.70269489999919,52.70270779999919,match,57,£50,D.bmp,52.70296109999981,52.70297380000011,52.71722719999889,53.20136719999937,53.20137859999886,53.21816369999942,53.21816369999942,53.21816369999942,53.30190070000026,m,0.07295549999980722,None,53.30250220000016,1,53.30275739999888,53.21816369999942,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
0,0,0,0,58,0,58,0,53.317810499998814,,,,,,,,,,,,,,,53.303185900000244,£50,D.bmp,£100,D.bmp,53.30345379999926,53.30346669999926,mismatch,58,£100,D.bmp,53.3037217000001,53.30373449999934,53.317810499998814,53.8018878999992,53.801899799998864,53.81868349999968,53.81868349999968,53.81868349999968,53.985783099999026,m,0.16093530000034661,None,53.98636400000032,0,53.98661530000027,53.81868349999968,,,,,,,,328449,001,2023-11-21_15h48.00.018,ala,2023.2.3,59.95685504685459,2023-11-21 15h48.05.298325 +0000,
